Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
USA,"85,004,438",,"1,028,924 ",,"81,632,147",,"2,343,367","2,289","254,002","3,075","1,021,971,326","3,053,760","334,659,970 ",North America,4,325,0.0,,,"7,002",5/23/2022
India,"43,138,393",,"524,459 ",,"42,599,102",,"14,832",698,"30,691",373,"847,092,226","602,668","1,405,569,356 ",Asia,33,"2,680",2.0,,,11,5/23/2022
Brazil,"30,791,220",,"665,680 ",,"29,832,019",,"293,521","8,318","142,945","3,090","63,776,166","296,074","215,406,479 ",South America,7,324,3.0,,,"1,363",5/23/2022
France,"29,354,950",,"147,780 ",,"28,542,968",,"664,202","1,173","447,855","2,255","271,490,188","4,142,002","65,545,650 ",Europe,2,444,0.0,,,"10,133",5/23/2022
Germany,"26,085,617",,"138,712 ",,"24,708,600","+106,100","1,238,305",944,"309,479","1,646","122,332,384","1,451,349","84,288,720 ",Europe,3,608,1.0,,,"14,691",5/23/2022
UK,"22,238,715",,"177,977 ",,"21,836,316","+17,105","224,422",188,"324,378","2,596","522,526,476","7,621,676","68,557,945 ",Europe,3,385,0.0,,,"3,273",5/23/2022
Russia,"18,297,608","+4,158","378,426 ",76.0,"17,694,020","+5,117","225,162","2,300","125,281","2,591","273,400,000","1,871,931","146,052,359 ",Europe,8,386,1.0,28,0.5,"1,542",5/23/2022
S. Korea,"17,967,672","+9,975","23,987 ",22.0,"17,414,103","+42,223","529,582",229,"349,890",467,"15,804,065","307,758","51,352,317 ",Asia,3,"2,141",3.0,194,0.4,"10,313",5/23/2022
Italy,"17,247,552",,"165,952 ",,"16,231,004",,"850,596",292,"286,056","2,752","219,432,092","3,639,349","60,294,330 ",Europe,3,363,0.0,,,"14,107",5/23/2022
Turkey,"15,062,281",,"98,926 ",,"14,959,906",,"3,449",975,"175,043","1,150","161,541,275","1,877,316","86,049,076 ",Asia,6,870,1.0,,,40,5/23/2022
Spain,"12,238,073",,"105,947 ",,"11,620,275",,"511,851",339,"261,559","2,264","471,036,328","10,067,267","46,788,898 ",Europe,4,442,0.0,,,"10,940",5/23/2022
Vietnam,"10,710,066","+1,179","43,076 ",1.0,"9,405,908","+3,862","1,261,082",216,"108,195",435,"85,814,565","866,911","98,988,845 ",Asia,9,"2,298",1.0,12,0.01,"12,740",5/23/2022
Argentina,"9,135,308",,"128,776 ",,"8,895,999",,"110,533",300,"198,692","2,801","35,716,069","776,821","45,977,230 ",South America,5,357,1.0,,,"2,404",5/23/2022
Japan,"8,618,683","+31,262","30,307 ",15.0,"8,243,263","+32,927","345,113",96,"68,540",241,"51,460,902","409,241","125,747,062 ",Asia,15,"4,149",2.0,249,0.1,"2,745",5/23/2022
Netherlands,"8,077,873",+737,"22,307 ",,"8,015,332","+4,663","40,234",36,"469,472","1,296","21,107,399","1,226,725","17,206,307 ",Europe,2,771,1.0,43,,"2,338",5/23/2022
Iran,"7,230,321",+268,"141,281 ",7.0,"7,035,798","+1,812","53,242",649,"84,055","1,642","52,031,785","604,890","86,018,593 ",Asia,12,609,2.0,3,0.08,619,5/23/2022
Australia,"6,983,004","+34,036","8,109 ",12.0,"6,563,517",,"411,378",106,"267,986",311,"71,279,851","2,735,497","26,057,364 ",Australia/Oceania,4,"3,213",0.0,"1,306",0.5,"15,787",5/23/2022
Colombia,"6,099,111",,"139,833 ",,"5,930,545",,"28,733",342,"117,506","2,694","34,792,844","670,320","51,904,798 ",South America,9,371,1.0,,,554,5/23/2022
Indonesia,"6,052,764",+174,"156,534 ",12.0,"5,893,340",+929,"2,890","2,771","21,697",561,"98,171,807","351,904","278,973,499 ",Asia,46,"1,782",3.0,0.6,0.04,10,5/23/2022
Poland,"6,005,596",+65,"116,268 ",,"5,335,262",+12,"554,066",981,"159,011","3,078","36,286,936","960,772","37,768,517 ",Europe,6,325,1.0,2,,"14,670",5/23/2022
Mexico,"5,752,441",,"324,617 ",,"5,050,420",,"377,404","4,798","43,750","2,469","15,897,804","120,909","131,485,198 ",North America,23,405,8.0,,,"2,870",5/23/2022
Ukraine,"5,009,301",,"108,497 ",,,,,177,"115,852","2,509","19,521,252","451,475","43,238,840 ",Europe,9,399,2.0,,,"19,491",5/23/2022
Malaysia,"4,491,320",,"35,643 ",,"4,429,166",,"26,511",40,"135,496","1,075","59,578,095","1,797,371","33,147,348 ",Asia,7,930,1.0,,,800,5/23/2022
Thailand,"4,415,593","+4,099","29,778 ",29.0,"4,334,812","+8,856","51,003","1,496","62,963",425,"17,270,775","246,268","70,129,984 ",Asia,16,"2,355",4.0,58,0.4,727,5/23/2022
Austria,"4,235,183","+1,753","18,599 ",252.0,"4,173,311","+3,940","43,273",52,"465,240","2,043","186,421,071","20,478,570","9,103,227 ",Europe,2,489,0.0,193,28.0,"4,754",5/23/2022
Belgium,"4,134,293",,"31,675 ",,"3,990,880","+6,764","111,738",105,"353,822","2,711","33,947,485","2,905,303","11,684,661 ",Europe,3,369,0.0,,,"9,563",5/23/2022
Israel,"4,121,326",,"10,827 ",,"4,096,572",,"13,927",150,"441,918","1,161","41,373,364","4,436,346","9,326,000 ",Asia,2,861,0.0,,,"1,493",5/23/2022
Portugal,"4,066,674",,"22,583 ",,,,,61,"401,025","2,227","42,276,350","4,168,978","10,140,699 ",Europe,2,449,0.0,,,"115,171",5/23/2022
South Africa,"3,929,872",,"100,933 ",,"3,739,543",,"89,396",192,"64,724","1,662","25,069,012","412,879","60,717,635 ",Africa,15,602,2.0,,,"1,472",5/23/2022
Czechia,"3,918,127",+62,"40,266 ",,"3,876,254",+501,"1,607",6,"364,599","3,747","55,366,573","5,152,098","10,746,414 ",Europe,3,267,0.0,6,,150,5/23/2022
Canada,"3,846,998",,"40,679 ",,"3,516,903",,"289,416",370,"100,272","1,060","61,679,093","1,607,663","38,365,690 ",North America,10,943,1.0,,,"7,544",5/23/2022
Philippines,"3,689,132",+191,"60,455 ",,"3,626,406",+172,"2,271",480,"32,842",538,"30,029,881","267,338","112,329,152 ",Asia,30,"1,858",4.0,2,,20,5/23/2022
Chile,"3,643,136",,"57,802 ",,"3,483,990",,"101,344",142,"187,545","2,976","38,080,050","1,960,323","19,425,395 ",South America,5,336,1.0,,,"5,217",5/23/2022
Switzerland,"3,642,604",,"13,934 ",,"3,579,618","+3,619","49,052",71,"415,165","1,588","20,991,820","2,392,535","8,773,881 ",Europe,2,630,0.0,,,"5,591",5/23/2022
Peru,"3,576,042",,"213,106 ",,,,,189,"105,684","6,298","30,448,621","899,855","33,837,252 ",South America,9,159,1.0,,,"48,534",5/23/2022
Greece,"3,419,998",,"29,690 ",,"3,341,372",,"48,936",156,"331,166","2,875","81,853,729","7,926,073","10,327,148 ",Europe,3,348,0.0,,,"4,739",5/23/2022
Denmark,"2,979,238",,"6,312 ",,"2,965,874",+531,"7,052",11,"510,963","1,083","127,377,418","21,846,234","5,830,635 ",Europe,2,924,0.0,,,"1,209",5/23/2022
Romania,"2,906,285",+234,"65,654  ",2.0,,,,101,"152,995","3,456","23,065,296","1,214,221","18,995,962 ",Europe,7,289,1.0,12,0.1,"12,317",5/23/2022
DPRK,"2,814,380","+167,650",68 ,1.0,"2,334,910","+267,640","479,402",,"108,280",3,,,"25,991,686 ",Asia,9,"382,231",,"6,450",0.04,"18,444",5/23/2022
Sweden,"2,506,607",,"18,908 ",,"2,480,483",+413,"7,216",7,"245,315","1,850","18,573,144","1,817,702","10,217,923 ",Europe,4,540,1.0,,,706,5/23/2022
Iraq,"2,327,387",+118,"25,218 ",2.0,"2,301,061",+142,"1,108",10,"55,516",602,"18,561,155","442,747","41,922,756 ",Asia,18,"1,662",2.0,3,0.05,26,5/23/2022
