Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
Serbia,"2,015,086",,"16,065 ",,"1,992,080",,"6,941",10,"232,392","1,853","9,648,645","1,112,740","8,671,072 ",Europe,4,540,1.0,,,800,5/23/2022
Bangladesh,"1,953,264",+31,"29,130 ",2.0,"1,901,157",+193,"22,977","1,259","11,642",174,"14,090,035","83,979","167,780,998 ",Asia,86,"5,760",12.0,0.2,0.01,137,5/23/2022
Hungary,"1,914,697",,"46,446 ",,"1,830,803",,"37,448",21,"199,154","4,831","11,394,556","1,185,187","9,614,139 ",Europe,5,207,1.0,,,"3,895",5/23/2022
Slovakia,"1,788,490",+38,"20,081 ",1.0,"1,765,106",+50,"3,303",30,"327,285","3,675","7,138,024","1,306,224","5,464,624 ",Europe,3,272,1.0,7,0.2,604,5/23/2022
Jordan,"1,694,216",,"14,048 ",,"1,678,941",,"1,227",124,"163,000","1,352","16,670,254","1,603,836","10,393,992 ",Asia,6,740,1.0,,,118,5/23/2022
Georgia,"1,655,221",,"16,811 ",,"1,637,293",,"1,117",,"416,435","4,229","16,920,079","4,256,901","3,974,741 ",Asia,2,236,0.0,,,281,5/23/2022
Ireland,"1,551,835",,"7,244 ",,"1,525,470","+1,546","19,121",28,"307,799","1,437","12,193,391","2,418,501","5,041,714 ",Europe,3,696,0.0,,,"3,793",5/23/2022
Pakistan,"1,529,834",+49,"30,379 ",,"1,494,141",,"5,314",87,"6,681",133,"28,473,285","124,352","228,972,697 ",Asia,150,"7,537",8.0,0.2,,23,5/23/2022
Norway,"1,431,291",,"3,094 ",,,,,20,"260,182",562,"11,002,430","2,000,036","5,501,117 ",Europe,4,"1,778",0.0,,,"243,450",5/23/2022
Taiwan,"1,386,640","+66,283","1,436 ",40.0,"172,535","+23,075","1,212,669",,"58,023",60,"17,249,430","721,794","23,897,995 ",Asia,17,"16,642",1.0,"2,774",2.0,"50,744",5/23/2022
Kazakhstan,"1,305,697",+6,"13,661 ",,"1,291,885",+5,151,24,"68,005",712,"11,575,012","602,869","19,199,895 ",Asia,15,"1,405",2.0,0.3,,8,5/23/2022
Singapore,"1,269,635",,"1,375 ",,"1,188,831",,"79,429",6,"213,850",232,"23,877,882","4,021,850","5,937,039 ",Asia,5,"4,318",0.0,,,"13,379",5/23/2022
Hong Kong,"1,210,586",+190,"9,370 ",,,,,5,"159,045","1,231","44,972,952","5,908,485","7,611,588 ",Asia,6,812,0.0,25,,"156,076",5/23/2022
Morocco,"1,166,628",,"16,075 ",,"1,149,601",,952,293,"30,916",426,"11,237,010","297,788","37,734,897 ",Africa,32,"2,347",3.0,,,25,5/23/2022
Bulgaria,"1,163,413",,"37,093 ",,"1,042,639",,"83,681",43,"169,843","5,415","9,964,693","1,454,716","6,849,923 ",Europe,6,185,1.0,,,"12,216",5/23/2022
Croatia,"1,134,232",,"15,966 ",,"1,115,160",,"3,106",5,"279,534","3,935","4,859,097","1,197,536","4,057,580 ",Europe,4,254,1.0,,,765,5/23/2022
New Zealand,"1,105,317","+6,067","1,017 ",10.0,"1,049,783","+7,105","54,517",,"220,971",203,"7,153,172","1,430,034","5,002,100 ",Australia/Oceania,5,"4,918",1.0,"1,213",2.0,"10,899",5/23/2022
Cuba,"1,104,979",,"8,529 ",,"1,096,117",,333,23,"97,668",754,"12,920,253","1,142,012","11,313,591 ",North America,10,"1,326",1.0,,,29,5/23/2022
Lebanon,"1,098,503",,"10,417 ",,"1,085,682",,"2,404",186,"162,312","1,539","4,795,578","708,580","6,767,867 ",Asia,6,650,1.0,,,355,5/23/2022
Finland,"1,081,225",,"4,406 ",,,,,21,"194,572",793,"10,873,312","1,956,710","5,556,937 ",Europe,5,"1,261",1.0,,,"185,501",5/23/2022
Lithuania,"1,061,549",+14,"9,134 ",,"1,035,276",+141,"17,139",11,"400,469","3,446","9,967,630","3,760,286","2,650,764 ",Europe,2,290,0.0,5,,"6,466",5/23/2022
Tunisia,"1,041,789",,"28,628  ",,,,,29,"86,444","2,375","4,607,327","382,299","12,051,638 ",Africa,12,421,3.0,,,"-1,128.06",5/23/2022
Slovenia,"1,022,600",+86,"6,630 ",1.0,"1,009,441",+199,"6,529",7,"491,759","3,188","2,662,274","1,280,262","2,079,476 ",Europe,2,314,1.0,41,0.5,"3,140",5/23/2022
Belarus,"982,867",,"6,978 ",,,,,,"104,079",739,"13,220,483","1,399,961","9,443,467 ",Europe,10,"1,353",1.0,,,"5,014",5/23/2022
Nepal,"979,076",+8,"11,952 ",,"966,991",+16,133,,"32,501",397,"5,687,735","188,810","30,124,118 ",Asia,31,"2,520",5.0,0.3,,4,5/23/2022
Bolivia,"907,224",,"21,944 ",,"865,679",,"19,601",220,"75,772","1,833","2,705,422","225,960","11,973,035 ",South America,13,546,4.0,,,"1,637",5/23/2022
UAE,"905,151",+321,"2,302  ",,"888,939",+355,"13,910",,"89,481",228,"160,728,161","15,889,197","10,115,562 ",Asia,11,"4,394",0.0,32,,"1,375",5/23/2022
Uruguay,"902,540",,"7,213 ",,"892,434",,"2,893",18,"258,133","2,063","6,114,822","1,748,884","3,496,413 ",South America,4,485,1.0,,,827,5/23/2022
Costa Rica,"877,533",,"8,472 ",,"848,035",,"21,026",38,"169,350","1,635","4,487,906","866,095","5,181,769 ",North America,6,612,1.0,,,"4,058",5/23/2022
Ecuador,"874,599",,"35,617 ",,,,,759,"48,193","1,963","2,470,170","136,114","18,147,822 ",South America,21,510,7.0,,,"21,771",5/23/2022
Guatemala,"856,496",,"17,954 ",,"835,876",,"2,666",5,"46,197",968,"4,585,934","247,355","18,539,924 ",North America,22,"1,033",4.0,,,144,5/23/2022
Panama,"830,287",,"8,227 ",,"794,046",,"28,014",16,"186,886","1,852","6,132,544","1,380,352","4,442,739 ",North America,5,540,1.0,,,"6,306",5/23/2022
Latvia,"827,201",+345,"5,815 ",2.0,"818,845",+588,"2,541",7,"447,880","3,148","7,241,076","3,920,612","1,846,925 ",Europe,2,318,0.0,187,1.0,"1,376",5/23/2022
Azerbaijan,"792,714",+2,"9,710 ",,"782,957",,47,,"76,878",942,"6,874,348","666,676","10,311,378 ",Asia,13,"1,062",1.0,0.2,,5,5/23/2022
Saudi Arabia,"763,692",+650,"9,131 ",1.0,"748,030",+538,"6,531",73,"21,311",255,"42,358,052","1,182,018","35,835,381 ",Asia,47,"3,925",1.0,18,0.03,182,5/23/2022
Sri Lanka,"663,758",,"16,512 ",,"646,937",,309,,"30,755",765,"6,486,117","300,528","21,582,420 ",Asia,33,"1,307",3.0,,,14,5/23/2022
Paraguay,"650,283",,"18,885 ",,"624,673",,"6,725",4,"89,109","2,588","2,633,737","360,904","7,297,620 ",South America,11,386,3.0,,,922,5/23/2022
Kuwait,"632,781",,"2,555 ",,"629,695",,531,4,"144,156",582,"8,098,920","1,845,038","4,389,568 ",Asia,7,"1,718",1.0,,,121,5/23/2022
Myanmar,"613,222",,"19,434 ",,"592,186",,"1,602",,"11,130",353,"8,138,688","147,715","55,097,093 ",Asia,90,"2,835",7.0,,,29,5/23/2022
Palestine,"582,363",+117,"5,356 ",1.0,"576,879",+115,128,17,"109,368","1,006","3,078,533","578,150","5,324,801 ",Asia,9,994,2.0,22,0.2,24,5/23/2022
Bahrain,"581,371",,"1,482 ",,"575,470",,"4,419",26,"320,675",817,"9,815,874","5,414,284","1,812,959 ",Asia,3,"1,223",0.0,,,"2,437",5/23/2022
Dominican Republic,"581,153",,"4,377 ",,"576,147",,629,1,"52,579",396,"3,318,995","300,283","11,052,886 ",North America,19,"2,525",3.0,,,57,5/23/2022
Estonia,"575,046",,"2,561 ",,"516,588",,"55,897",4,"432,946","1,928","3,357,306","2,527,681","1,328,216 ",Europe,2,519,0.0,,,"42,084",5/23/2022
Venezuela,"523,343",,"5,716 ",,"516,506",,"1,121",230,"18,503",202,"3,359,014","118,760","28,284,155 ",South America,54,"4,948",8.0,,,40,5/23/2022
Moldova,"517,753",,"11,503 ",,"504,142",,"2,108",49,"128,913","2,864","3,216,305","800,813","4,016,300 ",Europe,8,349,1.0,,,525,5/23/2022
Egypt,"515,645",,"24,613 ",,"442,182",,"48,850",122,"4,866",232,"3,693,367","34,853","105,970,638 ",Africa,206,"4,305",29.0,,,461,5/23/2022
Libya,"501,904",,"6,430 ",,"490,973",,"4,501",101,"71,219",912,"2,477,219","351,511","7,047,343 ",Africa,14,"1,096",3.0,,,639,5/23/2022
Cyprus,"477,711",,"1,032 ",,"124,370",,"352,309",60,"390,312",843,"9,477,138","7,743,266","1,223,920 ",Asia,3,"1,186",0.0,,,"287,853",5/23/2022
Ethiopia,"471,373",,"7,512 ",,"455,810",,"8,051",6,"3,917",62,"4,867,783","40,454","120,327,543 ",Africa,255,"16,018",25.0,,,67,5/23/2022
Mongolia,"469,885",,"2,179 ",,"313,256",,"154,450",192,"139,112",645,"4,030,048","1,193,114","3,377,756 ",Asia,7,"1,550",1.0,,,"45,726",5/23/2022
Honduras,"424,771",,"10,896 ",,"132,401",,"281,474",105,"41,638","1,068","1,369,816","134,277","10,201,405 ",North America,24,936,7.0,,,"27,592",5/23/2022
Armenia,"422,939",+22,"8,624 ",1.0,"412,240",+169,"2,075",,"142,228","2,900","3,089,295","1,038,880","2,973,678 ",Asia,7,345,1.0,7,0.3,698,5/23/2022
Réunion,"411,363",,770 ,,"403,795",,"6,798",10,"453,367",849,"1,603,660","1,767,409","907,351 ",Africa,2,"1,178",1.0,,,"7,492",5/23/2022
Oman,"389,473",,"4,260 ",,"384,669",,544,2,"72,782",796,"25,000,000","4,671,799","5,351,258 ",Asia,14,"1,256",0.0,,,102,5/23/2022
Bosnia and Herzegovina,"377,745",+36,"15,785 ",2.0,,,,,"116,502","4,868","1,772,985","546,816","3,242,379 ",Europe,9,205,2.0,11,0.6,"52,351",5/23/2022
Qatar,"367,272",+173,677 ,,"365,538",+123,"1,057",,"130,804",241,"3,514,885","1,251,827","2,807,805 ",Asia,8,"4,147",1.0,62,,376,5/23/2022
Kenya,"324,242",,"5,651 ",,"318,276",,315,,"5,790",101,"3,649,319","65,163","56,002,502 ",Africa,173,"9,910",15.0,,,6,5/23/2022
Zambia,"321,195",+49,"3,985 ",,"316,628",+110,582,,"16,596",206,"3,468,197","179,201","19,353,678 ",Africa,60,"4,857",6.0,3,,30,5/23/2022
North Macedonia,"311,350",+151,"9,297 ",,"301,545",+184,508,,"149,457","4,463","2,042,804","980,603","2,083,213 ",Europe,7,224,1.0,72,,244,5/23/2022
Botswana,"306,614",,"2,692 ",,"303,619",,303,1,"125,606","1,103","2,026,898","830,329","2,441,077 ",Africa,8,907,1.0,,,124,5/23/2022
Albania,"275,864",,"3,497 ",,"272,125",,242,2,"96,057","1,218","1,822,887","634,737","2,871,877 ",Europe,10,821,2.0,,,84,5/23/2022
Algeria,"265,854",,"6,875 ",,"178,386",,"80,593",6,"5,863",152,"230,861","5,091","45,342,848 ",Africa,171,"6,595",196.0,,,"1,777",5/23/2022
Nigeria,"255,937",,"3,143 ",,"249,996",,"2,798",11,"1,186",15,"5,152,011","23,878","215,763,437 ",Africa,843,"68,649",42.0,,,13,5/23/2022
Zimbabwe,"250,642",,"5,494 ",,"243,033",,"2,115",12,"16,413",360,"2,305,149","150,954","15,270,580 ",Africa,61,"2,780",7.0,,,139,5/23/2022
Luxembourg,"244,182",,"1,073 ",,"235,939",,"7,170",,"378,480","1,663","4,248,188","6,584,654","645,165 ",Europe,3,601,0.0,,,"11,113",5/23/2022
Uzbekistan,"238,940",+11,"1,637 ",,"237,161",+15,142,23,"6,949",48,"1,377,915","40,075","34,383,122 ",Asia,144,"21,004",25.0,0.3,,4,5/23/2022
Montenegro,"236,721",,"2,719 ",,"233,362",,640,6,"376,815","4,328","2,470,106","3,931,937","628,216 ",Europe,3,231,0.0,,,"1,019",5/23/2022
Mozambique,"225,577",,"2,201 ",,"223,279",,97,13,"6,855",67,"1,323,179","40,212","32,904,740 ",Africa,146,"14,950",25.0,,,3,5/23/2022
Laos,"209,744",+16,754 ,,,,,,"28,061",101,"1,232,128","164,845","7,474,478 ",Asia,36,"9,913",6.0,2,,"26,936",5/23/2022
Kyrgyzstan,"200,993",,"2,991 ",,"196,406",,"1,596",131,"29,879",445,"1,907,195","283,514","6,726,993 ",Asia,33,"2,249",4.0,,,237,5/23/2022
Iceland,"186,969",,153 ,,,,,,"541,286",443,"1,925,385","5,574,105","345,416 ",Europe,2,"2,258",0.0,,,"321,731",5/23/2022
Afghanistan,"179,716",,"7,698 ",,"162,741",,"9,277","1,124","4,429",190,"958,454","23,619","40,579,846 ",Asia,226,"5,271",42.0,,,229,5/23/2022
Maldives,"179,560",,298 ,,"163,687",,"15,575",25,"321,516",534,"2,213,831","3,964,029","558,480 ",Asia,3,"1,874",0.0,,,"27,888",5/23/2022
Namibia,"164,850",,"4,032 ",,"157,815",,"3,003",,"62,738","1,534","1,029,765","391,904","2,627,597 ",Africa,16,652,3.0,,,"1,143",5/23/2022
Uganda,"164,069",,"3,596 ",,"100,205",,"60,268",2,"3,386",74,"2,612,795","53,915","48,461,550 ",Africa,295,"13,477",19.0,,,"1,244",5/23/2022
El Salvador,"162,089",,"4,130 ",,"150,662",,"7,297",8,"24,754",631,"1,950,448","297,875","6,547,872 ",North America,40,"1,585",3.0,,,"1,114",5/23/2022
Ghana,"161,351",,"1,445 ",,"159,865",,41,1,"4,996",45,"2,447,185","75,776","32,294,823 ",Africa,200,"22,349",13.0,,,1,5/23/2022
Trinidad and Tobago,"158,225",,"3,893 ",,"144,803",,"9,529",18,"112,374","2,765","736,152","522,825","1,408,027 ",North America,9,362,2.0,,,"6,768",5/23/2022
Martinique,"153,253",,926 ,,104,,"152,223",8,"408,983","2,471","828,928","2,212,144","374,717 ",North America,2,405,0.0,,,"406,235",5/23/2022
Brunei ,"146,775",+269,222 ,1.0,"144,943",+271,"1,610",,"329,556",498,"717,784","1,611,650","445,372 ",Asia,3,"2,006",1.0,604,2.0,"3,615",5/23/2022
Guadeloupe,"140,130",,854 ,,"2,250",,"137,026",19,"350,104","2,134","938,039","2,343,615","400,253 ",North America,3,469,0.0,,,"342,348",5/23/2022
Cambodia,"136,262",,"3,056 ",,"133,201",,5,,"7,943",178,"2,964,585","172,812","17,154,926 ",Asia,126,"5,614",6.0,,,0.3,5/23/2022
Jamaica,"134,660",,"3,032 ",,"86,045",,"45,583",,"45,104","1,016","1,055,693","353,604","2,985,520 ",North America,22,985,3.0,,,"15,268",5/23/2022
Rwanda,"129,978",,"1,459 ",,"45,522",,"82,997",,"9,588",108,"5,386,505","397,323","13,556,995 ",Africa,104,"9,292",3.0,,,"6,122",5/23/2022
Cameroon,"119,780",,"1,927 ",,"117,791",,62,13,"4,310",69,"1,751,774","63,035","27,790,541 ",Africa,232,"14,422",16.0,,,2,5/23/2022
Angola,"99,194",,"1,900 ",,"97,149",,145,,"2,851",55,"1,499,795","43,108","34,791,729 ",Africa,351,"18,311",23.0,,,4,5/23/2022
Malta,"94,113",+67,718 ,1.0,"91,240",+142,"2,155",4,"212,081","1,618","1,914,941","4,315,272","443,759 ",Europe,5,618,0.0,151,2.0,"4,856",5/23/2022
DRC,"87,633",,"1,338 ",,"50,930",,"35,365",,925,14,"846,704","8,942","94,689,521 ",Africa,"1,081","70,769",112.0,,,373,5/23/2022
Senegal,"86,075",+2,"1,966 ",,"84,092",+6,17,,"4,898",112,"1,088,831","61,953","17,575,026 ",Africa,204,"8,939",16.0,0.1,,1.0,5/23/2022
Malawi,"85,929",,"2,638 ",,"82,799",,492,67,"4,283",131,"581,024","28,963","20,061,052 ",Africa,233,"7,605",35.0,,,25,5/23/2022
French Guiana,"82,313",,397 ,,"11,254",,"70,662",1,"262,759","1,267","635,980","2,030,173","313,264 ",South America,4,789,0.0,,,"225,567",5/23/2022
Ivory Coast,"82,044",,799 ,,"81,213",,32,,"2,972",29,"1,513,880","54,834","27,608,668 ",Africa,337,"34,554",18.0,,,1,5/23/2022
Suriname,"80,240",,"1,339 ",,"49,466",,"29,435",,"134,510","2,245","236,652","396,710","596,536 ",South America,7,446,3.0,,,"49,343",5/23/2022
Barbados,"78,919",,440 ,,"74,197",,"4,282",,"273,988","1,528","679,628","2,359,508","288,038 ",North America,4,655,0.0,,,"14,866",5/23/2022
Channel Islands,"75,767",,176 ,,"74,979",,612,,"428,345",995,"1,252,808","7,082,693","176,883 ",Europe,2,"1,005",0.0,,,"3,460",5/23/2022
French Polynesia,"72,858",,649 ,,,,,7,"256,571","2,285",,,"283,968 ",Australia/Oceania,4,438,,,,"136,315",5/23/2022
Eswatini,"72,150",,"1,404 ",,"70,299",,447,11,"60,999","1,187","1,024,478","866,148","1,182,798 ",Africa,16,842,1.0,,,378,5/23/2022
Fiji,"64,898",+3,862 ,,"63,010",+79,"1,026",,"71,420",949,"526,353","579,247","908,685 ",Australia/Oceania,14,"1,054",2.0,3,,"1,129",5/23/2022
Madagascar,"64,314",,"1,393 ",,"59,370",,"3,551",6,"2,215",48,"435,827","15,012","29,031,902 ",Africa,451,"20,841",67.0,,,122,5/23/2022
Guyana,"64,276",,"1,231 ",,"62,456",,589,,"80,982","1,551","620,143","781,329","793,703 ",South America,12,645,1.0,,,742,5/23/2022
Sudan,"62,211",,"4,937 ",,,,,,"1,359",108,"562,941","12,297","45,777,816 ",Africa,736,"9,272",81.0,,,370,5/23/2022
New Caledonia,"61,514",,312 ,,"60,620",,582,9,"211,628","1,073","98,964","340,469","290,670 ",Australia/Oceania,5,932,3.0,,,"2,002",5/23/2022
Bhutan,"59,614",+40,21 ,,"59,564",+55,29,,"75,689",27,"2,303,734","2,924,942","787,617 ",Asia,13,"37,506",0.0,51,,37,5/23/2022
Mauritania,"59,025",,982 ,,"57,776",,267,,"12,096",201,"824,558","168,972","4,879,861 ",Africa,83,"4,969",6.0,,,55,5/23/2022
Belize,"58,419",,677 ,,"56,886",,856,6,"142,060","1,646","555,252","1,350,232","411,227 ",North America,7,607,1.0,,,"2,082",5/23/2022
Cabo Verde,"56,172",,401 ,,"55,669",,102,23,"99,005",707,"400,982","706,744","567,365 ",Africa,10,"1,415",1.0,,,180,5/23/2022
Syria,"55,879",,"3,150 ",,"52,601",,128,,"3,053",172,"146,269","7,992","18,301,462 ",Asia,328,"5,810",125.0,,,7,5/23/2022
Gabon,"47,622",,304 ,,"47,303",,15,,"20,486",131,"1,595,381","686,285","2,324,662 ",Africa,49,"7,647",1.0,,,6,5/23/2022
Papua New Guinea,"44,394",,651 ,,"43,726",,17,7,"4,791",70,"249,149","26,888","9,266,315 ",Australia/Oceania,209,"14,234",37.0,,,2,5/23/2022
Seychelles,"43,729",,167 ,,"43,040",,522,,"439,514","1,678",,,"99,494 ",Africa,2,596,,,,"5,247",5/23/2022
Curaçao,"43,522",,276 ,,"42,622",,624,3,"263,200","1,669","496,693","3,003,762","165,357 ",North America,4,599,0.0,,,"3,774",5/23/2022
Andorra,"42,572",,153 ,,"41,757",,662,14,"549,330","1,974","249,838","3,223,799","77,498 ",Europe,2,507,0.0,,,"8,542",5/23/2022
Burundi,"41,606",,38 ,,,,,,"3,313",3,"345,742","27,532","12,557,773 ",Africa,302,"330,468",36.0,,,"3,249",5/23/2022
Mauritius,"37,985",+16,996 ,,"36,327",+38,662,,"29,775",781,"358,675","281,150","1,275,744 ",Africa,34,"1,281",4.0,13,,519,5/23/2022
Mayotte,"37,523",,187 ,,"2,964",,"34,372",,"131,561",656,"176,919","620,303","285,214 ",Africa,8,"1,525",2.0,,,"120,513",5/23/2022
