Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
USA,"84,473,447",,"1,027,285 ",,"81,380,775",,"2,065,387","2,098","252,436","3,070","1,019,232,166","3,045,816","334,633,503 ",North America,4,326,0.0,,,"6,172",5/18/2022
India,"43,127,199",,"524,293 ",,"42,587,259",,"15,647",698,"30,687",373,"844,926,602","601,207","1,405,384,154 ",Asia,33,"2,681",2.0,,,11,5/18/2022
Brazil,"30,728,286",,"665,277 ",,"29,724,682",,"338,327","8,318","142,666","3,089","63,776,166","296,102","215,385,869 ",South America,7,324,3.0,,,"1,571",5/18/2022
France,"29,233,309",,"147,568 ",,"28,335,556",,"750,185","1,329","446,013","2,251","271,490,188","4,142,126","65,543,683 ",Europe,2,444,0.0,,,"11,446",5/18/2022
Germany,"25,892,255",,"138,183 ",,"24,299,000","+143,100","1,455,072","1,279","307,199","1,639","122,332,384","1,451,412","84,285,070 ",Europe,3,610,1.0,,,"17,264",5/18/2022
UK,"22,207,102",,"177,410 ",,"21,734,193",,"295,499",189,"323,940","2,588","519,264,096","7,574,628","68,553,083 ",Europe,3,386,0.0,,,"4,311",5/18/2022
Russia,"18,273,690","+4,732","377,975 ",106.0,"17,664,676","+6,134","231,039","2,300","125,118","2,588","273,400,000","1,871,942","146,051,508 ",Europe,8,386,1.0,32,0.7,"1,582",5/18/2022
S. Korea,"17,861,744","+31,315","23,802 ",31.0,"17,214,107","+43,235","623,835",313,"347,831",464,"15,804,065","307,761","51,351,716 ",Asia,3,"2,157",3.0,610,0.6,"12,148",5/18/2022
Italy,"17,116,550",,"165,494 ",,"15,983,655",,"967,401",337,"283,878","2,745","218,293,677","3,620,395","60,295,539 ",Europe,4,364,0.0,,,"16,044",5/18/2022
Turkey,"15,057,184",,"98,911 ",,"14,955,005",,"3,268",975,"175,009","1,150","161,010,744","1,871,420","86,036,685 ",Asia,6,870,1.0,,,38,5/18/2022
Spain,"12,179,234",,"105,642 ",,"11,588,576",,"485,016",339,"260,303","2,258","471,036,328","10,067,320","46,788,651 ",Europe,4,443,0.0,,,"10,366",5/18/2022
Vietnam,"10,701,796","+1,831","43,072 ",1.0,"9,373,294","+8,437","1,285,430",206,"108,124",435,"85,812,861","866,999","98,976,893 ",Asia,9,"2,298",1.0,18,0.01,"12,987",5/18/2022
Argentina,"9,135,308",,"128,776 ",,"8,895,999",,"110,533",300,"198,716","2,801","35,716,069","776,916","45,971,570 ",South America,5,357,1.0,,,"2,404",5/18/2022
Japan,"8,433,124","+33,734","30,122 ",33.0,"8,051,254","+35,796","351,748",125,"67,061",240,"50,811,141","404,057","125,752,328 ",Asia,15,"4,175",2.0,268,0.3,"2,797",5/18/2022
Netherlands,"8,072,716","+1,195","22,297 ",,"8,001,687","+2,072","48,732",44,"469,186","1,296","21,107,399","1,226,761","17,205,790 ",Europe,2,772,1.0,69,,"2,832",5/18/2022
Iran,"7,229,074",+288,"141,244 ",8.0,"7,026,733","+1,946","61,097",752,"84,055","1,642","51,877,878","603,204","86,003,907 ",Asia,12,609,2.0,3,0.09,710,5/18/2022
Australia,"6,759,554","+56,259","7,926 ",53.0,"6,313,350",,"438,278",133,"259,451",304,"70,859,644","2,719,793","26,053,324 ",Australia/Oceania,4,"3,287",0.0,"2,159",2.0,"16,822",5/18/2022
Colombia,"6,095,316",,"139,821 ",,"5,928,829",,"26,666",342,"117,449","2,694","34,675,581","668,157","51,897,393 ",South America,9,371,1.0,,,514,5/18/2022
Indonesia,"6,051,532",+327,"156,498 ",17.0,"5,891,190",+364,"3,844","2,771","21,695",561,"97,722,986","350,344","278,934,010 ",Asia,46,"1,782",3.0,1,0.06,14,5/18/2022
Poland,"6,004,427",+388,"116,230 ",13.0,"5,335,166",+23,"553,031",981,"158,977","3,077","36,249,231","959,759","37,769,081 ",Europe,6,325,1.0,10,0.3,"14,642",5/18/2022
Mexico,"5,752,441",,"324,617 ",,"5,050,420",,"377,404","4,798","43,756","2,469","15,897,804","120,926","131,466,704 ",North America,23,405,8.0,,,"2,871",5/18/2022
Ukraine,"5,009,301",,"108,497 ",,,,,177,"115,842","2,509","19,521,252","451,438","43,242,411 ",Europe,9,399,2.0,,,"19,490",5/18/2022
Malaysia,"4,481,278",,"35,623 ",,"4,415,146",,"30,509",36,"135,216","1,075","59,379,893","1,791,698","33,141,683 ",Asia,7,930,1.0,,,921,5/18/2022
Thailand,"4,388,610","+5,633","29,598 ",45.0,"4,298,132","+8,042","60,880","1,496","62,580",422,"17,270,775","246,276","70,127,598 ",Asia,16,"2,369",4.0,80,0.6,868,5/18/2022
Austria,"4,222,381","+4,322","18,320 ",8.0,"4,151,556","+5,609","52,505",54,"463,869","2,013","185,851,263","20,417,548","9,102,526 ",Europe,2,497,0.0,475,0.9,"5,768",5/18/2022
Belgium,"4,127,123",,"31,656 ",,"3,961,911",,"133,556",105,"353,229","2,709","33,906,863","2,901,997","11,683,974 ",Europe,3,369,0.0,,,"11,431",5/18/2022
Israel,"4,112,839",,"10,812 ",,"4,083,611",,"18,416",150,"441,008","1,159","41,373,364","4,436,346","9,326,000 ",Asia,2,863,0.0,,,"1,975",5/18/2022
Portugal,"4,066,674",,"22,583 ",,,,,61,"401,009","2,227","41,997,519","4,141,317","10,141,103 ",Europe,2,449,0.0,,,"115,166",5/18/2022
