Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
USA,"84,209,473",,"1,026,646 ",,"81,244,260",,"1,938,567","1,941","251,659","3,068","1,016,882,505","3,038,939","334,617,623 ",North America,4,326,0.0,,,"5,793",5/15/2022
India,"43,121,599",,"524,214 ",,"42,579,693",,"17,692",698,"30,686",373,"843,836,914","600,479","1,405,273,033 ",Asia,33,"2,681",2.0,,,13,5/15/2022
Brazil,"30,682,094",,"664,920 ",,"29,718,402",,"298,772","8,318","142,460","3,087","63,776,166","296,119","215,373,503 ",South America,7,324,3.0,,,"1,387",5/15/2022
France,"29,160,802",,"147,257 ",,"28,156,674",,"856,871","1,329","444,914","2,247","271,490,188","4,142,201","65,542,502 ",Europe,2,445,0.0,,,"13,074",5/15/2022
Germany,"25,780,226","+5,717","137,919 ",12.0,"23,956,700","+31,300","1,685,607","1,279","305,877","1,636","122,332,384","1,451,450","84,282,880 ",Europe,3,611,1.0,68,0.1,"19,999",5/15/2022
UK,"22,159,805",,"176,708 ",,"21,677,896","+20,126","305,201",253,"323,264","2,578","519,264,096","7,574,950","68,550,166 ",Europe,3,388,0.0,,,"4,452",5/15/2022
Russia,"18,260,293","+4,956","377,670 ",99.0,"17,647,179","+6,200","235,444","2,300","125,027","2,586","273,400,000","1,871,949","146,050,996 ",Europe,8,387,1.0,34,0.7,"1,612",5/15/2022
S. Korea,"17,782,061","+25,434","23,709 ",48.0,,,,338,"346,282",462,"15,804,065","307,763","51,351,355 ",Asia,3,"2,166",3.0,495,0.9,"326,940",5/15/2022
Italy,"17,030,147",,"165,182 ",,"15,864,177",,"1,000,788",340,"282,441","2,740","217,659,090","3,609,827","60,296,265 ",Europe,4,365,0.0,,,"16,598",5/15/2022
Turkey,"15,053,168",,"98,890 ",,"14,951,238",,"3,040",975,"174,977","1,149","160,622,710","1,867,071","86,029,250 ",Asia,6,870,1.0,,,35,5/15/2022
Spain,"12,127,122",,"105,444 ",,"11,548,089",,"473,589",339,"259,190","2,254","471,036,328","10,067,352","46,788,503 ",Europe,4,444,0.0,,,"10,122",5/15/2022
Vietnam,"10,696,630","+1,594","43,065 ",,"9,355,040","+5,448","1,298,525",340,"108,080",435,"85,811,485","867,048","98,969,721 ",Asia,9,"2,298",1.0,16,,"13,120",5/15/2022
Argentina,"9,101,319",,"128,729 ",,"8,895,999",,"76,591",372,"197,992","2,800","35,716,069","776,974","45,968,174 ",South America,5,357,1.0,,,"1,666",5/15/2022
Japan,"8,338,211","+38,627","30,039 ",34.0,"7,951,587","+26,801","356,585",139,"66,305",239,"50,444,181","401,129","125,755,488 ",Asia,15,"4,186",2.0,307,0.3,"2,836",5/15/2022
Netherlands,"8,067,116",,"22,292 ",,"7,989,151","+4,694","55,673",55,"468,869","1,296","21,107,399","1,226,784","17,205,480 ",Europe,2,772,1.0,,,"3,236",5/15/2022
Iran,"7,228,051",+368,"141,224 ",8.0,"7,020,835","+1,967","65,992",737,"84,052","1,642","51,771,715","602,031","85,995,095 ",Asia,12,609,2.0,4,0.09,767,5/15/2022
Australia,"6,593,795","+42,171","7,794 ",21.0,"6,199,822","+47,638","386,179",129,"253,112",299,"70,885,598","2,721,042","26,050,899 ",Australia/Oceania,4,"3,342",0.0,"1,619",0.8,"14,824",5/15/2022
