Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
USA,"84,174,521",,"1,026,527 ",,"81,207,081","+2,147","1,940,913","1,936","251,558","3,068","1,016,652,419","3,038,299","334,612,330 ",North America,4,326,0.0,,,"5,800",5/14/2022
India,"43,119,112",,"524,201 ",,"42,576,815",,"18,096",698,"30,685",373,"842,944,795","599,860","1,405,235,993 ",Asia,33,"2,681",2.0,,,13,5/14/2022
Brazil,"30,664,739",,"664,830 ",,"29,711,738",,"288,171","8,318","142,382","3,087","63,776,166","296,125","215,369,381 ",South America,7,324,3.0,,,"1,338",5/14/2022
France,"29,130,343",,"147,257 ",,"28,097,720",,"885,366","1,329","444,452","2,247","271,490,188","4,142,225","65,542,109 ",Europe,2,445,0.0,,,"13,508",5/14/2022
Germany,"25,733,580",,"137,809 ",,"23,925,400","+49,700","1,670,371","1,279","305,327","1,635","122,332,384","1,451,463","84,282,150 ",Europe,3,612,1.0,,,"19,819",5/14/2022
UK,"22,159,805",,"176,708 ",,"21,657,770",,"325,327",253,"323,269","2,578","519,264,096","7,575,058","68,549,194 ",Europe,3,388,0.0,,,"4,746",5/14/2022
Russia,"18,255,337","+5,047","377,571 ",107.0,"17,640,979","+7,378","236,787","2,300","124,993","2,585","273,400,000","1,871,951","146,050,826 ",Europe,8,387,1.0,35,0.7,"1,621",5/14/2022
S. Korea,"17,756,627","+29,541","23,661 ",55.0,,,,341,"345,788",461,"15,804,065","307,764","51,351,235 ",Asia,3,"2,170",3.0,575,1.0,"326,447",5/14/2022
Italy,"16,993,813",,"165,091 ",,"15,820,859",,"1,007,863",341,"281,837","2,738","217,395,343","3,605,438","60,296,507 ",Europe,4,365,0.0,,,"16,715",5/14/2022
Turkey,"15,051,761",,"98,885 ",,"14,949,593",,"3,283",975,"174,966","1,149","160,495,172","1,865,642","86,026,772 ",Asia,6,870,1.0,,,38,5/14/2022
Spain,"12,127,122",,"105,444 ",,"11,548,089",,"473,589",339,"259,190","2,254","471,036,328","10,067,363","46,788,454 ",Europe,4,444,0.0,,,"10,122",5/14/2022
Vietnam,"10,693,141",,"43,063 ",,"9,344,029",,"1,306,049",333,"108,047",435,"85,809,483","867,049","98,967,331 ",Asia,9,"2,298",1.0,,,"13,197",5/14/2022
Argentina,"9,101,319",,"128,729 ",,"8,895,999",,"76,591",372,"197,997","2,800","35,716,069","776,993","45,967,042 ",South America,5,357,1.0,,,"1,666",5/14/2022
Japan,"8,299,584","+39,228","30,005 ",31.0,"7,924,786","+33,849","344,793",159,"65,997",239,"50,331,407","400,229","125,756,541 ",Asia,15,"4,191",2.0,312,0.2,"2,742",5/14/2022
Netherlands,"8,067,116",,"22,292 ",,"7,984,457",,"60,367",55,"468,872","1,296","21,107,399","1,226,791","17,205,377 ",Europe,2,772,1.0,,,"3,509",5/14/2022
Iran,"7,227,683",+255,"141,216 ",7.0,"7,018,868","+2,191","67,599",751,"84,050","1,642","51,733,191","601,604","85,992,158 ",Asia,12,609,2.0,3,0.08,786,5/14/2022
Australia,"6,552,073","+50,434","7,769 ",48.0,"6,121,919",,"422,385",122,"251,518",298,"70,825,186","2,718,808","26,050,091 ",Australia/Oceania,4,"3,353",0.0,"1,936",2.0,"16,214",5/14/2022
Colombia,"6,095,316",,"139,821 ",,"5,928,829",,"26,666",342,"117,463","2,694","34,675,581","668,233","51,891,469 ",South America,9,371,1.0,,,514,5/14/2022
Indonesia,"6,050,519",+308,"156,453 ",5.0,"5,889,241",+416,"4,825","2,771","21,694",561,"97,245,391","348,672","278,902,419 ",Asia,46,"1,783",3.0,1,0.02,17,5/14/2022
Poland,"6,003,297",+434,"116,207 ",21.0,"5,335,102",+32,"551,988",981,"158,945","3,077","36,218,274","958,928","37,769,533 ",Europe,6,325,1.0,11,0.6,"14,615",5/14/2022
Mexico,"5,745,652",,"324,465 ",,"5,044,893",,"376,294","4,798","43,709","2,468","15,855,490","120,618","131,451,908 ",North America,23,405,8.0,,,"2,863",5/14/2022
Ukraine,"5,006,460",,"108,449 ",,,,,177,"115,769","2,508","19,521,252","451,408","43,245,267 ",Europe,9,399,2.0,,,"19,424",5/14/2022
Malaysia,"4,473,500",,"35,607 ",,"4,409,159",,"28,734",42,"135,000","1,075","59,212,377","1,786,888","33,137,151 ",Asia,7,931,1.0,,,867,5/14/2022
Thailand,"4,367,752","+6,736","29,424 ",54.0,"4,264,998","+9,213","73,330","1,496","62,285",420,"17,270,775","246,283","70,125,689 ",Asia,16,"2,383",4.0,96,0.8,"1,046",5/14/2022
Austria,"4,209,157","+3,777","18,303 ",7.0,"4,130,999","+6,178","59,855",62,"462,445","2,011","184,964,595","20,321,389","9,101,966 ",Europe,2,497,0.0,415,0.8,"6,576",5/14/2022
Belgium,"4,116,397",,"31,613 ",,"3,935,128",,"149,656",117,"352,328","2,706","33,846,023","2,896,927","11,683,424 ",Europe,3,370,0.0,,,"12,809",5/14/2022
Israel,"4,104,286",,"10,749 ",,"4,077,746",,"15,791",150,"440,091","1,153","41,373,364","4,436,346","9,326,000 ",Asia,2,868,0.0,,,"1,693",5/14/2022
Portugal,"3,935,932",,"22,420 ",,,,,61,"388,104","2,211","41,810,659","4,122,759","10,141,427 ",Europe,3,452,0.0,,,"102,287",5/14/2022
Czechia,"3,915,703",+470,"40,245 ",,"3,870,521","+1,321","4,937",14,"364,390","3,745","55,320,767","5,148,068","10,745,927 ",Europe,3,267,0.0,44,,459,5/14/2022
South Africa,"3,879,434",,"100,744 ",,"3,702,416",,"76,274",192,"63,912","1,660","24,841,314","409,252","60,699,249 ",Africa,16,603,2.0,,,"1,257",5/14/2022
Canada,"3,819,771",,"40,217 ",,"3,497,491",,"282,063",423,"99,583","1,048","61,436,458","1,601,678","38,357,561 ",North America,10,954,1.0,,,"7,354",5/14/2022
Philippines,"3,687,748",,"60,455 ",,"3,624,171",,"3,122",289,"32,840",538,"29,806,193","265,432","112,293,283 ",Asia,30,"1,857",4.0,,,28,5/14/2022
Switzerland,"3,631,881",,"13,882 ",,"3,545,889","+5,618","72,110",78,"414,016","1,582","20,927,607","2,385,639","8,772,327 ",Europe,2,632,0.0,,,"8,220",5/14/2022
Chile,"3,595,968",,"57,697 ",,"3,461,103",,"77,168",171,"185,155","2,971","37,581,991","1,935,085","19,421,364 ",South America,5,337,1.0,,,"3,973",5/14/2022
