Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
Peru,"3,571,516",,"213,013 ",,,,,248,"105,585","6,297","30,199,570","892,793","33,825,955 ",South America,9,159,1.0,,,"48,420",5/14/2022
Greece,"3,384,982",,"29,521 ",,"3,299,132",,"56,329",178,"327,736","2,858","81,097,651","7,851,913","10,328,394 ",Europe,3,350,0.0,,,"5,454",5/14/2022
Denmark,"2,975,820",,"6,278 ",,"2,958,926",,"10,616",12,"510,421","1,077","127,333,329","21,840,549","5,830,134 ",Europe,2,929,0.0,,,"1,821",5/14/2022
Romania,"2,902,790",+520,"65,606 ",6.0,,,,138,"152,786","3,453","22,943,983","1,207,635","18,999,100 ",Europe,7,290,1.0,27,0.3,"12,133",5/14/2022
Sweden,"2,504,894",,"18,864 ",,"2,476,511",,"9,519",9,"245,184","1,846","18,553,837","1,816,088","10,216,378 ",Europe,4,542,1.0,,,932,5/14/2022
Iraq,"2,326,288",,"25,216 ",,"2,299,796",,"1,276",10,"55,519",602,"18,521,636","442,038","41,900,507 ",Asia,18,"1,662",2.0,,,30,5/14/2022
Serbia,"2,012,270",,"16,045 ",,"1,986,311",,"9,914",15,"232,044","1,850","9,586,620","1,105,477","8,671,933 ",Europe,4,540,1.0,,,"1,143",5/14/2022
Bangladesh,"1,952,957",,"29,127 ",,"1,898,630",,"25,200","1,273","11,643",174,"14,043,672","83,723","167,740,682 ",Asia,86,"5,759",12.0,,,150,5/14/2022
Hungary,"1,909,948",,"46,343 ",,"1,821,435",,"42,170",29,"198,648","4,820","11,394,556","1,185,113","9,614,740 ",Europe,5,207,1.0,,,"4,386",5/14/2022
Slovakia,"1,786,914",+335,"20,028 ",10.0,"1,760,937",+926,"5,949",30,"327,001","3,665","7,125,922","1,304,025","5,464,560 ",Europe,3,273,1.0,61,2.0,"1,089",5/14/2022
Jordan,"1,694,216",,"14,048 ",,"1,678,941",,"1,227",124,"163,039","1,352","16,670,254","1,604,220","10,391,503 ",Asia,6,740,1.0,,,118,5/14/2022
Georgia,"1,655,221",,"16,811 ",,"1,637,293",,"1,117",,"416,415","4,229","16,920,079","4,256,700","3,974,929 ",Asia,2,236,0.0,,,281,5/14/2022
Ireland,"1,535,451",,"7,203 ",,"1,497,946",,"30,302",28,"304,631","1,429","12,144,747","2,409,500","5,040,359 ",Europe,3,700,0.0,,,"6,012",5/14/2022
Pakistan,"1,529,165",+85,"30,376 ",,"1,494,141",,"4,648",119,"6,681",133,"28,333,116","123,797","228,867,052 ",Asia,150,"7,534",8.0,0.4,,20,5/14/2022
Norway,"1,429,630",,"3,061 ",,,,,20,"259,929",557,"11,002,430","2,000,414","5,500,076 ",Europe,4,"1,797",0.0,,,"243,200",5/14/2022
Kazakhstan,"1,305,636",+5,"13,661 ",,"1,291,669",+258,306,24,"68,022",712,"11,575,012","603,042","19,194,373 ",Asia,15,"1,405",2.0,0.3,,16,5/14/2022
Singapore,"1,236,850",,"1,362 ",,"1,158,385",,"77,103",6,"208,367",229,"23,767,171","4,003,965","5,935,909 ",Asia,5,"4,358",0.0,,,"12,989",5/14/2022
Hong Kong,"1,207,963",,"9,359 ",,,,,5,"158,732","1,230","44,972,952","5,909,645","7,610,094 ",Asia,6,813,0.0,,,"155,763",5/14/2022
Morocco,"1,165,625",,"16,071 ",,"1,149,003",,551,293,"30,899",426,"11,237,010","297,873","37,724,142 ",Africa,32,"2,347",3.0,,,15,5/14/2022
Bulgaria,"1,161,351",,"37,043 ",,"1,014,280",,"110,028",56,"169,511","5,407","9,921,119","1,448,084","6,851,202 ",Europe,6,185,1.0,,,"16,060",5/14/2022
Croatia,"1,130,562",,"15,920 ",,"1,110,059",,"4,583",17,"278,587","3,923","4,832,076","1,190,695","4,058,199 ",Europe,4,255,1.0,,,"1,129",5/14/2022
Cuba,"1,104,393",,"8,529 ",,"1,095,369",,495,23,"97,615",754,"12,920,253","1,141,995","11,313,760 ",North America,10,"1,327",1.0,,,44,5/14/2022
Lebanon,"1,097,820",,"10,405 ",,"1,084,400",,"3,015",186,"162,193","1,537","4,795,578","708,502","6,768,615 ",Asia,6,651,1.0,,,445,5/14/2022
Finland,"1,069,740",,"4,284 ",,,,,21,"192,513",771,"10,832,080","1,949,364","5,556,726 ",Europe,5,"1,297",1.0,,,"183,463",5/14/2022
Lithuania,"1,060,580",+152,"9,126 ",,"1,032,479",+425,"18,975",11,"399,964","3,442","9,954,903","3,754,172","2,651,691 ",Europe,3,291,0.0,57,,"7,156",5/14/2022
Tunisia,"1,041,197",,"28,575 ",,,,,29,"86,416","2,372","4,592,916","381,199","12,048,599 ",Africa,12,422,3.0,,,"-1,173.08",5/14/2022
New Zealand,"1,037,855","+7,122",909 ,17.0,"983,286","+6,803","53,660",,"207,484",182,"7,127,584","1,424,918","5,002,100 ",Australia/Oceania,5,"5,503",1.0,"1,424",3.0,"10,727",5/14/2022
Slovenia,"1,019,468",+553,"6,622 ",3.0,"1,003,559",+970,"9,287",9,"490,254","3,184","2,656,926","1,277,694","2,079,469 ",Europe,2,314,1.0,266,1.0,"4,466",5/14/2022
Belarus,"982,867",,"6,978 ",,,,,,"104,078",739,"13,220,483","1,399,949","9,443,543 ",Europe,10,"1,353",1.0,,,"5,014",5/14/2022
Nepal,"978,991",+2,"11,952 ",,"966,889",+16,150,,"32,513",397,"5,667,049","188,204","30,111,215 ",Asia,31,"2,519",5.0,0.07,,5,5/14/2022
Bolivia,"906,083",+89,"21,926 ",,"863,434",+215,"20,723",220,"75,702","1,832","2,705,422","226,034","11,969,119 ",South America,13,546,4.0,7,,"1,731",5/14/2022
Uruguay,"902,540",,"7,213 ",,"892,434",,"2,893",18,"258,155","2,063","6,114,822","1,749,032","3,496,118 ",South America,4,485,1.0,,,827,5/14/2022
UAE,"902,161",+352,"2,302 ",,"885,825",+288,"14,034",,"89,211",228,"158,900,538","15,713,087","10,112,624 ",Asia,11,"4,393",0.0,35,,"1,388",5/14/2022
Ecuador,"872,268",,"35,607 ",,,,,759,"48,082","1,963","2,470,170","136,163","18,141,230 ",South America,21,509,7.0,,,"21,651",5/14/2022
Costa Rica,"866,164",,"8,444 ",,"841,683",,"16,037",48,"167,193","1,630","4,401,922","849,689","5,180,626 ",North America,6,614,1.0,,,"3,096",5/14/2022
Guatemala,"851,877",,"17,792 ",,"831,794",,"2,291",5,"45,968",960,"4,543,522","245,175","18,531,763 ",North America,22,"1,042",4.0,,,124,5/14/2022
Latvia,"825,699",,"5,798 ",,"816,253",,"3,648",6,"446,944","3,138","7,217,715","3,906,887","1,847,434 ",Europe,2,319,0.0,,,"1,975",5/14/2022
Panama,"803,223",,"8,202 ",,"771,367",,"23,654",16,"180,863","1,847","6,005,884","1,352,352","4,441,067 ",North America,6,541,1.0,,,"5,326",5/14/2022
Azerbaijan,"792,638",,"9,709 ",,"782,869",,60,,"76,887",942,"6,838,458","663,340","10,309,133 ",Asia,13,"1,062",2.0,,,6,5/14/2022
Saudi Arabia,"758,361",,"9,111 ",,"743,309",,"5,941",60,"21,170",254,"42,099,496","1,175,240","35,822,040 ",Asia,47,"3,932",1.0,,,166,5/14/2022
Taiwan,"687,601","+64,041","1,049 ",40.0,"46,143",,"640,409",,"28,774",44,"15,820,952","662,049","23,896,938 ",Asia,35,"22,781",2.0,"2,680",2.0,"26,799",5/14/2022
Sri Lanka,"663,655",,"16,511 ",,"646,156",,988,,"30,753",765,"6,486,117","300,558","21,580,218 ",Asia,33,"1,307",3.0,,,46,5/14/2022
Paraguay,"649,718",,"18,872 ",,"624,673",,"6,173",2,"89,058","2,587","2,633,737","361,010","7,295,466 ",South America,11,387,3.0,,,846,5/14/2022
Kuwait,"632,074",,"2,555 ",,"629,114",,405,3,"144,046",582,"8,071,763","1,839,503","4,388,014 ",Asia,7,"1,717",1.0,,,92,5/14/2022
Myanmar,"613,116",,"19,434 ",,"592,073",,"1,609",,"11,130",353,"8,068,209","146,460","55,088,138 ",Asia,90,"2,835",7.0,,,29,5/14/2022
Palestine,"582,119",,"5,353  ",,"576,684",,82,17,"109,382","1,006","3,078,533","578,467","5,321,878 ",Asia,9,994,2.0,,,15,5/14/2022
Dominican Republic,"580,336",,"4,376 ",,"575,485",,475,1,"52,518",396,"3,304,458","299,040","11,050,213 ",North America,19,"2,525",3.0,,,43,5/14/2022
Bahrain,"576,395",,"1,479 ",,"569,221",,"5,695",4,"318,187",816,"9,775,981","5,396,634","1,811,496 ",Asia,3,"1,225",0.0,,,"3,144",5/14/2022
Estonia,"573,922",,"2,556 ",,"514,836",,"56,530",3,"432,107","1,924","3,345,340","2,518,713","1,328,194 ",Europe,2,520,0.0,,,"42,562",5/14/2022
Venezuela,"522,921",,"5,711 ",,"516,170",,"1,040",230,"18,487",202,"3,359,014","118,751","28,286,128 ",South America,54,"4,953",8.0,,,37,5/14/2022
Moldova,"516,986",,"11,489 ",,"504,142",,"1,355",49,"128,715","2,860","3,216,305","800,767","4,016,530 ",Europe,8,350,1.0,,,337,5/14/2022
Egypt,"515,645",,"24,613 ",,"442,182",,"48,850",122,"4,868",232,"3,693,367","34,868","105,923,104 ",Africa,205,"4,304",29.0,,,461,5/14/2022
Libya,"501,904",,"6,430 ",,"490,973",,"4,501",101,"71,242",913,"2,477,219","351,626","7,045,045 ",Africa,14,"1,096",3.0,,,639,5/14/2022
Cyprus,"477,711",,"1,032 ",,"124,370",,"352,309",60,"390,381",843,"9,477,138","7,744,633","1,223,704 ",Asia,3,"1,186",0.0,,,"287,904",5/14/2022
Ethiopia,"470,899",,"7,510 ",,"455,755",,"7,634",6,"3,916",62,"4,832,669","40,186","120,257,307 ",Africa,255,"16,013",25.0,,,63,5/14/2022
Mongolia,"469,885",,"2,179 ",,"313,256",,"154,450",192,"139,165",645,"4,030,048","1,193,573","3,376,456 ",Asia,7,"1,550",1.0,,,"45,743",5/14/2022
Honduras,"424,390",,"10,896 ",,"132,358",,"281,136",105,"41,617","1,068","1,365,056","133,861","10,197,528 ",North America,24,936,7.0,,,"27,569",5/14/2022
Armenia,"422,896",,"8,623 ",,"412,048",,"2,225",,"142,220","2,900","3,068,217","1,031,839","2,973,543 ",Asia,7,345,1.0,,,748,5/14/2022
Réunion,"405,980",,762 ,,"395,430",,"9,788",10,"447,512",840,"1,603,660","1,767,715","907,194 ",Africa,2,"1,191",1.0,,,"10,789",5/14/2022
Oman,"389,370",,"4,259 ",,"384,543",,568,3,"72,806",796,"25,000,000","4,674,598","5,348,054 ",Asia,14,"1,256",0.0,,,106,5/14/2022
Bosnia and Herzegovina,"377,511",,"15,778 ",,,,,,"116,412","4,865","1,767,199","544,948","3,242,878 ",Europe,9,206,2.0,,,"52,273",5/14/2022
Qatar,"365,938",,677 ,,"364,214",,"1,047",2,"130,329",241,"3,481,344","1,239,881","2,807,805 ",Asia,8,"4,147",1.0,,,373,5/14/2022
Kenya,"323,975",,"5,649  ",,"318,120",,206,2,"5,788",101,"3,628,019","64,817","55,973,309 ",Africa,173,"9,909",15.0,,,4,5/14/2022
Zambia,"320,481",,"3,983 ",,"315,916",,582,,"16,570",206,"3,450,306","178,394","19,340,969 ",Africa,60,"4,856",6.0,,,30,5/14/2022
North Macedonia,"310,684",,"9,289 ",,"300,761",,634,,"149,137","4,459","2,034,606","976,666","2,083,215 ",Europe,7,224,1.0,,,304,5/14/2022
Botswana,"306,324",,"2,690 ",,"303,026",,608,1,"125,547","1,103","2,026,898","830,728","2,439,907 ",Africa,8,907,1.0,,,249,5/14/2022
Albania,"275,534",,"3,497 ",,"271,812",,225,2,"95,940","1,218","1,816,684","632,560","2,871,954 ",Europe,10,821,2.0,,,78,5/14/2022
Algeria,"265,814",,"6,875 ",,"178,371",,"80,568",6,"5,865",152,"230,861","5,094","45,323,351 ",Africa,171,"6,592",196.0,,,"1,778",5/14/2022
Nigeria,"255,836",,"3,143 ",,"249,936",,"2,757",11,"1,186",15,"5,114,703","23,719","215,637,422 ",Africa,843,"68,609",42.0,,,13,5/14/2022
Zimbabwe,"249,131",,"5,482 ",,"242,366",,"1,283",12,"16,320",359,"2,285,861","149,743","15,265,257 ",Africa,61,"2,785",7.0,,,84,5/14/2022
Luxembourg,"244,182",,"1,073 ",,"235,939",,"7,170",,"378,627","1,664","4,248,188","6,587,206","644,915 ",Europe,3,601,0.0,,,"11,118",5/14/2022
Uzbekistan,"238,788",+10,"1,637 ",,"236,946",+33,205,23,"6,947",48,"1,377,915","40,089","34,371,189 ",Asia,144,"20,996",25.0,0.3,,6,5/14/2022
Montenegro,"236,153",,"2,718 ",,"232,811",,624,6,"375,912","4,327","2,464,394","3,922,857","628,214 ",Europe,3,231,0.0,,,993,5/14/2022
Mozambique,"225,485",,"2,201 ",,"223,190",,94,13,"6,857",67,"1,319,240","40,119","32,883,124 ",Africa,146,"14,940",25.0,,,3,5/14/2022
Laos,"209,386",+65,754 ,,,,,,"28,023",101,"1,232,128","164,902","7,471,881 ",Asia,36,"9,910",6.0,9,,"26,897",5/14/2022
Kyrgyzstan,"200,993",,"2,991 ",,"196,406",,"1,596",131,"29,890",445,"1,907,195","283,625","6,724,343 ",Asia,33,"2,248",4.0,,,237,5/14/2022
Iceland,"186,179",,120 ,,,,,,"539,084",347,"2,264,004","6,555,452","345,362 ",Europe,2,"2,878",0.0,,,"319,589",5/14/2022
Maldives,"179,483",,298 ,,"163,687",,"15,498",25,"321,512",534,"2,213,831","3,965,691","558,246 ",Asia,3,"1,873",0.0,,,"27,762",5/14/2022
Afghanistan,"179,242",+22,"7,687 ",,"162,155",+18,"9,400","1,124","4,419",190,"950,762","23,442","40,558,235 ",Asia,226,"5,276",43.0,0.5,,232,5/14/2022
Uganda,"164,069",,"3,596 ",,"100,205",,"60,268",2,"3,388",74,"2,612,795","53,955","48,425,857 ",Africa,295,"13,467",19.0,,,"1,245",5/14/2022
El Salvador,"162,089",,"4,129 ",,"150,662",,"7,298",8,"24,757",631,"1,950,448","297,912","6,547,069 ",North America,40,"1,586",3.0,,,"1,115",5/14/2022
Ghana,"161,280",,"1,445 ",,"159,788",,47,1,"4,996",45,"2,442,206","75,660","32,278,842 ",Africa,200,"22,338",13.0,,,1,5/14/2022
Namibia,"159,503",,"4,028 ",,"153,662",,"1,813",,"60,729","1,534","1,015,142","386,505","2,626,464 ",Africa,16,652,3.0,,,690,5/14/2022
Trinidad and Tobago,"153,471",,"3,866 ",,"140,228",,"9,377",18,"109,006","2,746","722,629","513,261","1,407,916 ",North America,9,364,2.0,,,"6,660",5/14/2022
Martinique,"153,253",,926 ,,104,,"152,223",8,"408,976","2,471","828,928","2,212,103","374,724 ",North America,2,405,0.0,,,"406,227",5/14/2022
Brunei ,"144,411",+275,220 ,,"142,527",+209,"1,664",,"324,323",494,"717,784","1,612,023","445,269 ",Asia,3,"2,024",1.0,618,,"3,737",5/14/2022
Guadeloupe,"140,130",,854 ,,"2,250",,"137,026",19,"350,105","2,134","938,039","2,343,627","400,251 ",North America,3,469,0.0,,,"342,350",5/14/2022
Cambodia,"136,262",,"3,056 ",,"133,189",,17,,"7,946",178,"2,959,910","172,597","17,149,235 ",Asia,126,"5,612",6.0,,,1.0,5/14/2022
Jamaica,"131,980",,"2,995 ",,"84,883",,"44,102",,"44,211","1,003","1,031,235","345,449","2,985,203 ",North America,23,997,3.0,,,"14,774",5/14/2022
Rwanda,"129,895",,"1,459 ",,"45,522",,"82,914",,"9,587",108,"5,335,552","393,795","13,549,076 ",Africa,104,"9,287",3.0,,,"6,120",5/14/2022
Cameroon,"119,780",,"1,927 ",,"117,791",,62,13,"4,313",69,"1,751,774","63,072","27,774,242 ",Africa,232,"14,413",16.0,,,2,5/14/2022
Angola,"99,194",,"1,900 ",,"97,149",,145,,"2,853",55,"1,499,795","43,139","34,766,471 ",Africa,350,"18,298",23.0,,,4,5/14/2022
Malta,"93,446",+86,713 ,,"89,952",+145,"2,781",4,"210,592","1,607","1,903,746","4,290,325","443,730 ",Europe,5,622,0.0,194,,"6,267",5/14/2022
DRC,"87,023",,"1,337 ",,"50,930",,"34,756",,920,14,"846,704","8,948","94,622,264 ",Africa,"1,087","70,772",112.0,,,367,5/14/2022
Senegal,"86,032",,"1,966 ",,"84,050",,16,,"4,898",112,"1,079,261","61,447","17,564,139 ",Africa,204,"8,934",16.0,,,0.9,5/14/2022
Malawi,"85,866",,"2,636 ",,"82,678",,552,67,"4,283",131,"578,228","28,841","20,048,856 ",Africa,233,"7,606",35.0,,,28,5/14/2022
Ivory Coast,"81,989",,799 ,,"81,168",,22,,"2,971",29,"1,509,861","54,720","27,592,557 ",Africa,337,"34,534",18.0,,,0.8,5/14/2022
French Guiana,"81,784",,397 ,,"11,254",,"70,133",1,"261,230","1,268","631,628","2,017,510","313,073 ",South America,4,789,0.0,,,"224,015",5/14/2022
Suriname,"80,008",,"1,337 ",,"49,455",,"29,216",,"134,150","2,242","236,268","396,152","596,407 ",South America,7,446,3.0,,,"48,987",5/14/2022
Barbados,"75,845",,432 ,,"71,452",,"3,961",,"263,324","1,500","667,921","2,318,937","288,029 ",North America,4,667,0.0,,,"13,752",5/14/2022
Channel Islands,"75,275",,173 ,,"74,574",,528,,"425,660",978,"1,252,808","7,084,295","176,843 ",Europe,2,"1,022",0.0,,,"2,986",5/14/2022
French Polynesia,"72,821",,649 ,,,,,7,"256,477","2,286",,,"283,928 ",Australia/Oceania,4,437,,,,"136,204",5/14/2022
Eswatini,"71,667",,"1,402 ",,"69,456",,809,11,"60,606","1,186","1,021,075","863,486","1,182,503 ",Africa,16,843,1.0,,,684,5/14/2022
Fiji,"64,773",,862 ,,"62,875",,"1,036",,"71,295",949,"517,703","569,827","908,526 ",Australia/Oceania,14,"1,054",2.0,,,"1,140",5/14/2022
Madagascar,"64,236",,"1,393 ",,"59,370",,"3,473",14,"2,214",48,"430,995","14,855","29,014,340 ",Africa,452,"20,829",67.0,,,120,5/14/2022
Guyana,"63,772",,"1,228 ",,"62,279",,265,,"80,357","1,547","609,376","767,853","793,610 ",South America,12,646,1.0,,,334,5/14/2022
Sudan,"62,161",,"4,936  ",,,,,,"1,359",108,"562,941","12,304","45,752,574 ",Africa,736,"9,269",81.0,,,369,5/14/2022
New Caledonia,"61,049",,312 ,,"60,339",,398,9,"210,078","1,074","98,964","340,548","290,602 ",Australia/Oceania,5,931,3.0,,,"1,370",5/14/2022
Bhutan,"59,566",+2,21 ,,"59,476",+14,69,,"75,648",27,"2,303,632","2,925,589","787,408 ",Asia,13,"37,496",0.0,3,,88,5/14/2022
Mauritania,"58,822",,982 ,,"57,708",,132,,"12,061",201,"814,961","167,108","4,876,845 ",Africa,83,"4,966",6.0,,,27,5/14/2022
Belize,"57,896",,676 ,,"56,761",,459,6,"140,849","1,645","549,217","1,336,135","411,049 ",North America,7,608,1.0,,,"1,117",5/14/2022
Cabo Verde,"56,105",,401 ,,"55,613",,91,23,"98,913",707,"400,982","706,929","567,217 ",Africa,10,"1,415",1.0,,,160,5/14/2022
Syria,"55,868",,"3,150 ",,"52,447",,271,,"3,054",172,"146,269","7,997","18,290,978 ",Asia,327,"5,807",125.0,,,15,5/14/2022
Gabon,"47,608",,304 ,,"47,297",,7,,"20,491",131,"1,594,523","686,298","2,323,367 ",Africa,49,"7,643",1.0,,,3,5/14/2022
Papua New Guinea,"43,876",,651 ,,"43,200",,25,7,"4,737",70,"249,149","26,900","9,262,141 ",Australia/Oceania,211,"14,228",37.0,,,3,5/14/2022
Seychelles,"43,235",,167 ,,"42,553",,515,,"434,614","1,679",,,"99,479 ",Africa,2,596,,,,"5,177",5/14/2022
Curaçao,"43,017",,275 ,,"42,203",,539,3,"260,171","1,663","496,693","3,004,052","165,341 ",North America,4,601,0.0,,,"3,260",5/14/2022
Andorra,"42,156",,153 ,,"41,021",,982,14,"543,983","1,974","249,838","3,223,924","77,495 ",Europe,2,507,0.0,,,"12,672",5/14/2022
Burundi,"41,235",,38 ,,,,,,"3,286",3,"345,742","27,551","12,549,027 ",Africa,304,"330,238",36.0,,,"3,221",5/14/2022
Mauritius,"37,843",,996 ,,"36,183",,664,,"29,665",781,"358,675","281,161","1,275,693 ",Africa,34,"1,281",4.0,,,521,5/14/2022
Mayotte,"37,363",,187 ,,"2,964",,"34,212",,"131,074",656,"176,919","620,655","285,052 ",Africa,8,"1,524",2.0,,,"120,020",5/14/2022
Togo,"37,017",,273 ,,"36,722",,22,,"4,285",32,"734,914","85,065","8,639,434 ",Africa,233,"31,646",12.0,,,3,5/14/2022
Guinea,"36,459",,440 ,,"35,976",,43,8,"2,643",32,"660,107","47,851","13,794,954 ",Africa,378,"31,352",21.0,,,3,5/14/2022
Aruba,"35,693",,213 ,,"35,199",,281,,"331,692","1,979","177,885","1,653,068","107,609 ",North America,3,505,1.0,,,"2,611",5/14/2022
Tanzania,"35,354",,840 ,,,,,7,562,13,,,"62,896,789 ",Africa,"1,779","74,877",,,,546,5/14/2022
